序号,场所名称,检验检测场所地址,领域,类别,检测对象,参数,依据的标准（方法）名称及编号（含年号）,限制范围,说明
397,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,标识符号,电玩具的安全GB 19865-2005,,
398,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,清洁和保养说明及电池等标识,电玩具的安全GB 19865-2005,,
399,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,温升试验,电玩具的安全GB 19865-2005,,
400,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,玩具或包装的标识,电玩具的安全GB 19865-2005,,
401,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,电子电路,电玩具的安全GB 19865-2005,,
402,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,电子电路试验,电玩具的安全GB 19865-2005,,
403,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,电气间隙和爬电距离,电玩具的安全GB 19865-2005,,
404,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,电距离,电玩具的安全GB 19865-2005,,
405,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,结构,电玩具的安全GB 19865-2005,,
406,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,耐潮湿,电玩具的安全GB 19865-2005,,
407,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,耐热和耐燃,电玩具的安全GB 19865-2005,,
408,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,螺钉和连接,电玩具的安全GB 19865-2005,,
409,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,试验前样品预处理,电玩具的安全GB 19865-2005,,
410,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,试验的一般条件,电玩具的安全GB 19865-2005,,
411,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,软线和电线的保护,电玩具的安全GB 19865-2005,,
412,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,输入功率,电玩具的安全GB 19865-2005,,
413,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,限温器短路,电玩具的安全GB 19865-2005,,
414,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,预处理,电玩具的安全GB 19865-2005,,
415,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,外部和内部接线,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
416,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,接地规定,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
417,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,标记,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
418,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,爬电距离和电气间隙,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
419,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,结构,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,不测同 GB7000.1-2015,
420,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,绝缘电阻和电气强度,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
421,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,耐久性试验和热试验,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
422,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,耐热、耐火和耐起痕,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
423,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,防尘、防固体异物和防水,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
424,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,舞台灯光、电视、电影及摄影场所（室内外）用灯具,防触电保护,灯具 第2-17部分:特殊要求 舞台灯光、电视、电影及摄影场所（室内外）用灯具GB 7000.217-2008,,
425,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,内部布线,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
426,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,发热,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
427,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
428,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,外部导线用接线端子,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
429,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,对触及带电部件的防护,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
430,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
431,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,接地措施,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
432,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,机械强度,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
433,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,标志和说明,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
434,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,泄漏电流和电气强度,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
435,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
436,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,电源连接和外部软线,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
437,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,稳定性和机械危险,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
438,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,结构,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
439,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,耐潮湿,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、100cm×100cm×100cm以上的样品,
440,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,耐热和耐燃,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
441,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,螺钉和连接,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机,
442,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,输入功率和电流,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
443,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,便携式电热工具及其类似器具,非正常工作,家用和类似用途电器的安全 便携式电热工具及其类似器具的特殊要求GB 4706.41-2005,不测：点火机、三相器具,
444,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,外部和内部接线,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
445,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,接地规定,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
446,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,标记,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
447,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,爬电距离和电气间隙,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
448,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,结构,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,不测同 GB7000.1-2015,
449,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,绝缘电阻和电气强度,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
450,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,耐久性试验和热试验,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,不测：100cm×100cm×100cm以上的样品的耐久性试验,
451,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,耐热、耐火和耐电痕,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,不测：15.2绒面或织物面料燃烧,
452,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,防尘和防潮,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,不测：100cm×100cm×100cm以上的样品的潮湿试验,
453,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,儿童用可移式灯具,防触电保护,灯具 第2-10部分：特殊要求 儿童用可移式灯具GB 7000.4-2007,,
454,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,电子电气产品,电压变化、电压波动和闪烁,电磁兼容 限值 对每相额定电流≤16 A 且无条件接入的设备在公用低压供电系统中产生的电压变化、电压波动和闪烁的限制GB/T 17625.2-2007,不测：三相器具,
455,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,电子电气产品,谐波电流,电磁兼容 限值 谐波电流发射限值(设备每相输入电流≤16A)GB 17625.1-2012,不测：三相器具,
456,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,内部布线,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
457,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,发热,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：三相器具,
458,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,变压器和相关电路的过载保护,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：三相器具,
459,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,外部导线用接线端子,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：吸水式清洁器具、三相器具,
460,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,对触及带电部件的防护,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：8.1.4不测峰值电压超过15kV的放电能量,
461,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
462,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,接地措施,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：三相器具,
463,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,机械强度,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
464,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,标志和说明,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
465,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,泄漏电流和电气强度,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
466,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
467,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,电源连接和外部软线,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
468,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,稳定性和机械危险,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
469,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,结构,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
470,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,耐潮湿,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
471,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,耐热和耐燃,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：100cm×100cm×100cm以上的样品,
472,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,螺钉和连接,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：三相器具,
473,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,输入功率和电流,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,,
474,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,空气净化器,非正常工作,家用和类似用途电器的安全 空气净化器的特殊要求GB 4706.45-2008,不测：三相器具,
475,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,外部接线和内部接线,投光灯具安全要求GB 7000.7-2005,,
476,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,接地规定,投光灯具安全要求GB 7000.7-2005,,
477,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,标记,投光灯具安全要求GB 7000.7-2005,,
478,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,爬电距离和电气间隙,投光灯具安全要求GB 7000.7-2005,,
479,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,结构,投光灯具安全要求GB 7000.7-2005,不测同 GB7000.1-2015,
480,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,绝缘电阻和电气强度,投光灯具安全要求GB 7000.7-2005,,
481,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,耐久性试验和热试验,投光灯具安全要求GB 7000.7-2005,不测：100cm×100cm×100cm以上的样品的耐久性试验,
482,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,耐热、耐火和耐起痕,投光灯具安全要求GB 7000.7-2005,,
483,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,防尘和防水,投光灯具安全要求GB 7000.7-2005,不测：100cm×100cm×100cm以上的样品的潮湿试验,
484,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,投光灯具,防触电保护,投光灯具安全要求GB 7000.7-2005,,
485,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,内部布线,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
486,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,发热,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,不测：三相器具,
487,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,不测：三相器具,
488,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,外部导线用接线端子,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
489,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,对触及带电部件的防护,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
490,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,不测：三相器具,
491,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,接地措施,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
492,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,机械强度,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
493,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,口腔卫生器具,标志和说明,家用和类似用途电器的安全 口腔卫生器具的特殊要求GB 4706.59-2008,,
494,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,外部接线和内部接线,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
495,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,接地规定,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
496,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,标记,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
497,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,爬电距离和电气间隙,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
498,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,结构,灯具 第1部分:一般要求与试验GB 7000.1-2015,不测：4.11.6 电应力试验， 4.20 振动试验，4.24光生物安全，4.28热传感器固定,
499,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,绝缘电阻和电气强度、接触电流和保护导体电流,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
500,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,耐久性试验和热试验,灯具 第1部分:一般要求与试验GB 7000.1-2015,不测：100cm×100cm×100cm以上的样品的耐久性试验,
501,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,耐热、耐火和耐起痕,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
502,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,防尘、防固体异物和防水,灯具 第1部分:一般要求与试验GB 7000.1-2015,不测：100cm×100cm×100cm以上的样品的潮湿试验,
503,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯具,防触电保护,灯具 第1部分:一般要求与试验GB 7000.1-2015,,
504,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,外部和内部接线,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,,
505,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,标记,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,,
506,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,爬电距离和电气间隙,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,,
507,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,结构,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,不测：6.14灯串缠绕试验，其他不测同 GB7000.1-2015,
508,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,绝缘电阻和介电强度,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,不测：5000V以上交流耐压,
509,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,耐久性试验和热试验,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,"不测：100cm×100cm×100cm以上的样品的耐久性试验,",
510,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,耐热、耐火和耐电痕,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,,
511,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,防尘和防水,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
512,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯串,防触电保护,灯具 第2-20部分：特殊要求 灯串GB 7000.9-2008,,
513,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,内部布线,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
514,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,发热,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
515,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,变压器和相关电路的过载保护,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
516,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,外部导线用接线端子,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
517,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,对触及带电部件的防护,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
518,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
519,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,接地措施,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
520,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,机械强度,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
521,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,标志和说明,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
522,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,泄漏电流和电气强度,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
523,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
524,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,电源连接和外部软线,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
525,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,稳定性和机械危险,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
526,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,结构,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
527,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,耐潮湿,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、100cm×100cm×100cm以上的样品,
528,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,耐热和耐燃,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
529,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,螺钉和连接,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器,
530,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,输入功率和电流,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
531,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,加湿器,非正常工作,家用和类似用途电器的安全 加湿器的特殊要求GB 4706.48-2009,不测：电极式加湿器、三相器具,
532,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,LED模块用独立式安全特低电压直流或交流电子控制装置的特殊补充要求,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
533,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,介电强度,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
534,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,保护接地装置,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
535,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,变压器加热试验,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
536,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,带热保护器的灯的电子控制装置的特殊要求,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
537,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,异常状态,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
538,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,故障状态,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
539,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,标志,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
540,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,爬电距离和电气间隙,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
